,MLBID,PLAYERNAME
1976,425567,Alex Rios
1977,621458,Edwin Rios
1978,553878,Felipe Vazquez
1979,407487,Juan Rivera
1980,121250,Mariano Rivera
1981,425784,Rene Rivera
1982,608061,T.J. Rivera
1983,592680,Yadiel Rivera
1984,519203,Anthony Rizzo
1985,543699,Tanner Roark
1986,406878,Brian Roberts
1987,502085,David Robertson
1988,543706,Daniel Robertson
1989,621002,Daniel Robertson
1990,673357,Luis Robert
1991,440251,Ryan Roberts
1992,502356,Tyler Robertson
1993,519208,Clint Robinson
1994,592685,Drew Robinson
1995,677565,Kristian Robinson
1996,453203,Shane Robinson
1997,477054,Trayvon Robinson
1998,570663,Hansel Robles
1999,645302,Victor Robles
2000,663898,Brendan Rodgers
2001,593144,Richard Rodriguez
2002,407845,Fernando Rodney
2003,607074,Carlos Rodon
2004,121347,Alex Rodriguez
2005,444553,Aneury Rodriguez
2006,605446,Dereck Rodriguez
2007,593958,Eduardo Rodriguez
2008,451775,Fernando Rodriguez
2009,408061,Francisco Rodriguez
2010,469159,Henry Rodriguez
2011,514719,Henry Rodriguez
2012,121358,Ivan Rodriguez
2013,622446,Jefry Rodriguez
2014,570257,Joely Rodriguez
2015,677594,Julio Rodriguez
2016,500135,Ronny Rodrigues
2017,446481,Sean Rodriguez
2018,572089,Paco Rodriguez
2019,434643,Wandy Rodriguez
2020,475054,Chaz Roe
2021,469134,Esmil Rogers
2022,595386,Jason Rogers
2023,668670,Jake Rogers
2024,449161,Mark Rogers
2025,573124,Taylor Rogers
2026,669432,Trevor Rogers
2027,643511,Tyler Rogers
2028,668942,Josh Rojas
2029,500743,Miguel Rojas
2030,121409,Scott Rolen
2031,276519,Jimmy Rollins
2032,605447,Jordan Romano
2033,607219,Sal Romano
2034,544836,Enny Romero
2035,622864,Fernando Romero
2036,460069,Ricky Romero
2037,552662,Stefen Romero
2038,461865,Andrew Romine
2039,519222,Austin Romine
2040,489265,Sergio Romo
2041,541652,Bruce Rondon
2042,444468,Hector Rondon
2043,602922,Jose Rondon
2044,667670,Brent Rooker
2045,407822,Jorge de la Rosa
2046,489267,Adam Rosales
2047,642708,Amed Rosario
2048,592696,Eddie Rosario
2049,501647,Wilin Rosario
2050,572095,Daniel Rosenbaum
2051,572096,Trevor Rosenthal
2052,425496,Cody Ross
2053,424325,David Ross
2054,605452,Joe Ross
2055,543726,Robbie Ross
2056,475115,Tyson Ross
2057,400023,Aaron Rowand
2058,434884,Ryan Rowland-Smith
2059,607387,Ryan Rua
2060,573131,Darin Ruf
2061,448605,Justin Ruggiano
2062,434563,Carlos Ruiz
2063,614179,Jose Ruiz
2064,660688,Keibert Ruiz
2065,547004,Rio Ruiz
2066,502130,Dan Runzler
2067,519237,Cameron Rupp
2068,543734,Chris Rusin
2069,608365,Addison Russell
2070,460701,James Russell
2071,666164,Blake Rutherford
2072,592710,Josh Rutledge
2073,668939,Adley Rutschman
2074,453895,Brendan Ryan
2075,657746,Joe Ryan
2076,594986,Kyle Ryan
2077,547943,Hyun-Jin Ryu
2078,547943,Hyun Jin Ryu
2079,519240,Marc Rzepczynski
2080,282332,CC Sabathia
2081,594987,Casey Sadler
2082,493416,Takashi Saito
2083,573135,Tyler Saladino
2084,477569,Fernando Salas
2085,517593,Danny Salazar
2086,519242,Chris Sale
2087,457454,Jarrod Saltalamacchia
2088,502188,Jeff Samardzija
2089,592716,Adrian Sampson
2090,572102,Keyvius Sampson
2091,502253,Alex Sanabia
2092,592717,Aaron Sanchez
2093,506703,Adrian Sanchez
2094,434671,Anibal Sanchez
2095,570560,Yolmer Sanchez
2096,500674,Eduardo Sanchez
2097,408108,Freddy Sanchez
2098,459991,Gaby Sanchez
2099,596142,Gary Sanchez
2100,516949,Hector Sanchez
2101,660821,Jesus Sanchez
2102,456043,Jonathan Sanchez
2103,664350,Sixto Sanchez
2104,506997,Tony Sanchez
2105,467055,Pablo Sandoval
2106,663776,Patrick Sandoval
2107,543742,Jerry Sands
2108,593934,Miguel Sano
2109,623993,Anthony Santander
2110,467793,Carlos Santana
2111,542454,Danny Santana
2112,642701,Dennis Santana
2113,570267,Domingo Santana
2114,650828,Edgar Santana
2115,429722,Ervin Santana
2116,276371,Johan Santana
2117,502327,Hector Santiago
2118,421124,Ramon Santiago
2119,435045,Sergio Santos
2120,543743,Dave Sappelt
2121,596143,Luis Sardinas
2122,543744,Josh Satin
2123,434578,Joe Saunders
2124,459431,Michael Saunders
2125,599683,Warwick Saupold
2126,457788,Jordan Schafer
2127,502582,Logan Schafer
2128,594988,Scott Schebler
2129,489294,Tanner Scheppers
2130,453286,Max Scherzer
2131,435625,Nate Schierholtz
2132,572114,Ryan Schimpf
2133,657376,Clarke Schmidt
2134,570731,Jonathan Schoop
2135,621011,Max Schrock
2136,435401,Skip Schumaker
2137,656941,Kyle Schwarber
2138,452737,Chris Schwinden
2139,432928,Luke Scott
2140,656945,Tanner Scott
2141,519267,Evan Scribner
2142,644428,Troy Scribner
2143,668687,Andre Scrubb
2144,340192,Marco Scutaro
2145,608369,Corey Seager
2146,572122,Kyle Seager
2147,516416,Jean Segura
2148,543760,Marcus Semien
2149,622608,Antonio Senzatela
2150,669222,Nick Senzel
2151,622663,Luis Severino
2152,600474,Pedro Severino
2153,623149,Paul Sewald
2154,594992,Kevin Shackelford
2155,596101,Justin Shafer
2156,572128,Richie Shaffer
2157,643532,Sterling Sharp
2158,543766,Bryan Shaw
2159,622046,Chris Shaw
2160,543768,Travis Shaw
2161,282656,Ben Sheets
2162,656954,Justus Sheffield
2163,642073,Jimmie Sherfy
2164,430941,George Sherrill
2165,448306,James Shields
2166,640463,Braden Shipley
2167,533167,Matt Shoemaker
2168,431159,Kelly Shoppach
2169,592741,Chasen Shreve
2170,543776,J.B. Shuck
2171,543779,Kevin Siegrist
2172,642423,Magneuris Sierra
2173,501213,Moises Sierra
2174,666888,Yaisel Sierra
2175,400067,Carlos Silva
2176,592743,Andrelton Simmons
2177,623406,Shae Simmons
2178,430580,Alfredo Simon
2179,608371,Luke Sims
2180,663903,Brady Singer
2181,572138,Jonathan Singleton
2182,448609,Tony Sipp
2183,642082,Chance Sisco
2184,429713,Grady Sizemore
2185,502003,Scott Sizemore
2186,572140,Tyler Skaggs
2187,543788,Kyle Skipworth
2188,607215,Eric Skoglund
2189,605474,Matt Skole
2190,669373,Tarik Skubal
2191,596103,Austin Slater
2192,642083,Aaron Slegers
2193,458713,Kevin Slowey
2194,656970,Devin Smeltzer
2195,572143,Burch Smith
2196,605476,Carson Smith
2197,592761,Caleb Smith
2198,642086,Dominic Smith
2199,596105,Dwight Smith Jr.
2200,501925,Joe Smith
2201,595001,Josh A. Smith
2202,607345,Kevan Smith
2203,605480,Mallex Smith
2204,656976,Pavin Smith
2205,642092,Riley Smith
2206,452234,Seth Smith
2207,519293,Will Smith
2208,669257,Will Smith
2209,475253,Justin Smoak
2210,519294,Josh Smoker
2211,519295,Jake Smolinski
2212,592767,Drew Smyly
2213,605482,Cy Sneed
2214,605483,Blake Snell
2215,430636,Ian Snell
2216,501983,Travis Snider
2217,474319,Brandon Snyder
2218,430965,Chris Snyder
2219,519299,Eric Sogard
2220,669256,Nick Solak
2221,456781,Donovan Solano
2222,500208,Yangervis Solarte
2223,624585,Jorge Soler
2224,455378,Ali Solis
2225,519301,Sammy Solis
2226,150093,Alfonso Soriano
2227,465657,Joakim Soria
2228,400089,Rafael Soriano
2229,647336,Mike Soroka
2230,434567,Geovany Soto
2231,642397,Gregory Soto
2232,665742,Juan Soto
2233,519306,Steven Souza
2234,452655,Denard Span
2235,605486,Cory Spangenberg
2236,642098,Glenn Sparkman
2237,448676,Ryan Spilborghs
2238,543807,George Springer
2239,605488,Jeffrey Springs
2240,607732,Jacob Stallings
2241,608715,Eric Stamets
2242,489334,Craig Stammen
2243,592773,Ryne Stanek
2244,519317,Giancarlo Stanton
2245,605490,Bubba Starling
2246,595426,Brock Stassi
2247,545358,Max Stassi
2248,431162,Tim Stauffer
2249,622251,Josh Staumont
2250,608716,Drew Steckenrider
2251,623451,Jackson Stephens
2252,596112,Robert Stephenson
2253,663886,Tyler Stephenson
2254,664057,Andrew Stevenson
2255,592779,Brock Stewart
2256,455755,Chris Stewart
2257,621514,Christin Stewart
2258,621466,D.J. Stewart
2259,456655,Ian Stewart
2260,640464,Kohl Stewart
2261,502139,Josh Stinson
2262,476594,Robert Stock
2263,519322,Drew Storen
2264,493547,Mickey Storey
2265,596115,Trevor Story
2266,621381,Matt Strahm
2267,573185,Dan Straily
2268,544931,Stephen Strasburg
2269,608717,Chris Stratton
2270,664702,Myles Straw
2271,434718,Huston Street
2272,519326,Hunter Strickland
2273,548389,Ross Stripling
2274,573186,Marcus Stroman
2275,467008,Pedro Strop
2276,452741,Michael Stutes
2277,453211,Drew Stubbs
2278,596117,Garrett Stubbs
2279,445590,Eric Stults
2280,544150,Albert Suarez
2281,605498,Andrew Suarez
2282,553993,Eugenio Suarez
2283,660761,Jose Suarez
2284,624133,Ranger Suarez
2285,491696,Jesus Sucre
2286,593833,Wander Suero
2287,642121,Cole Sulser
2288,572180,Andrew Susac
2289,608718,Brent Suter
2290,400085,Ichiro Suzuki
2291,435559,Kurt Suzuki
2292,621020,Dansby Swanson
2293,657024,Erik Swanson
2294,461872,Anthony Swarzak
2295,572182,Darnell Sweeney
2296,435220,Ryan Sweeney
2297,596119,Blake Swihart
2298,449881,R.J. Swindle
2299,430897,Nick Swisher
2300,592789,Noah Syndergaard
2301,663378,Thomas Szapucki
2302,519333,Matt Szczur
2303,467798,Jose Tabata
2304,592791,Jameson Taillon
2305,538227,Hisanori Takahashi
2306,452676,Mitch Talbot
2307,547888,Masahiro Tanaka
2308,606132,Raimel Tapia
2309,605501,Stephen Tarpley
2310,622253,Dillon Tate
2311,599899,Yoshinori Tateyama
2312,665487,Fernando Tatis Jr.
2313,643565,Mike Tauchman
2314,665750,Leody Taveras
2315,570805,Oscar Taveras
2316,476531,Andrew Taylor
2317,607333,Beau Taylor
2318,621035,Chris Taylor
2319,657031,Josh Taylor
2320,572191,Michael Taylor
2321,621438,Tyrone Taylor
2322,547749,Junichi Tazawa
2323,460003,Taylor Teagarden
2324,433597,Mark Teahen
2325,527054,Julio Teheran
2326,407893,Mark Teixeira
2327,123173,Miguel Tejada
2328,514913,Ruben Tejada
2329,660731,Anderson Tejeda
2330,493574,Blake Tekotte
2331,542513,Tomas Telis
2332,642133,Rowdy Tellez
2333,572193,Ryan Tepera
2334,519344,Nick Tepesch
2335,642136,Matt Thaiss
2336,519346,Eric Thames
2337,491159,Joe Thatcher
2338,445612,Dale Thayer
2339,444135,Ryan Theriot
2340,489365,Josh Thole
2341,476206,Justin Thomas
2342,657041,Lane Thomas
2343,123272,Jim Thome
2344,622097,Jake Thompson
2345,657044,Ryan Thompson
2346,572204,Trayce Thompson
2347,407819,Matt Thornton
2348,663423,Trent Thornton
2349,592804,Tyler Thornburg
2350,626929,Lewis Thorpe
2351,501957,Chris Tillman
2352,605508,Charlie Tilson
2353,622786,Jesus Tinoco
2354,624636,Carlos Tocci
2355,592808,Andrew Toles
2356,474521,Shawn Tolleson
2357,476270,Steve Tolleson
2358,630111,Yasmany Tomas
2359,458708,Josh Tomlin
2360,605509,Kelby Tomlinson
2361,679529,Spencer Torkelson
2362,647351,Abraham Toro
2363,456776,Alex Torres
2364,400083,Andres Torres
2365,448614,Carlos Torres
2366,650402,Gleyber Torres
2367,600526,Jose Torres
2368,620443,Luis Torrens
2369,591720,Ronald Torreyes
2370,150275,Yorvit Torrealba
2371,657053,Touki Toussaint
2372,541600,Wilfredo Tovar
2373,429710,Chad Tracy
2374,666211,Taylor Trammell
2375,581527,Devon Travis
2376,607752,Sam Travis
2377,595014,Blake Treinen
2378,624431,Jose Trevino
2379,592811,Andrew Triggs
2380,508892,Carlos Triunfel
2381,642152,Lou Trivino
2382,644433,Chadwick Tromp
2383,607374,Nicholas Tropeano
2384,545361,Mike Trout
2385,444432,Mark Trumbo
2386,660294,Yoshitomo Tsutsugo
2387,657061,Cole Tucker
2388,663656,Kyle Tucker
2389,605512,Preston Tucker
2390,592815,Sam Tuivailala
2391,453064,Troy Tulowitzki
2392,605513,Spencer Turnbull
2393,545363,Jacob Turner
2394,457759,Justin Turner
2395,607208,Trea Turner
2396,493157,Koji Uehara
2397,462564,Dan Uggla
2398,425834,Melvin Upton
2399,457708,Justin Upton
2400,570632,Jose Urena
2401,620446,Richard Urena
2402,628711,Julio Urias
2403,649966,Luis Urias
2404,346874,Juan Uribe
2405,664353,Jose Urquidy
2406,625329,Henry Urrutia
2407,570482,Giovanny Urshela
2408,400284,Chase Utley
2409,642162,Pat Valaika
2410,472528,Luis Valbuena
2411,491624,Cesar Valdez
2412,664285,Framber Valdez
2413,451990,Jose Valdez
2414,518170,Jordany Valdespin
2415,570488,Phillips Valdez
2416,447744,Raul Valdes
2417,407832,Wilson Valdez
2418,502143,Danny Valencia
2419,591971,Breyvic Valera
2420,407878,Jose Valverde
2421,462995,Rick VandenHurk
2422,642165,Josh VanMeter
2423,475100,Scott Van Slyke
2424,570714,Cesar Vargas
2425,545121,Ildemaro Vargas
2426,450306,Jason Vargas
2427,573627,Kennys Vargas
2428,662139,Daulton Varsho
2429,460008,Anthony Varvaro
2430,458220,Esmerling Vasquez
2431,683734,Andrew Vaughn
2432,543877,Christian Vazquez
2433,134320,Javier Vazquez
2434,592826,Vincent Velasquez
2435,623205,Andrew Velazquez
2436,584171,Hector Velazquez
2437,461416,Will Venable
2438,458924,Jonny Venters
2439,570649,Yordano Ventura
2440,407842,Jose Veras
2441,657077,Alex Verdugo
2442,572403,Drew VerHagen
2443,434378,Justin Verlander
2444,548337,Logan Verrett
2445,493364,Dayan Viciedo
2446,425664,Shane Victorino
2447,600986,Thyago Vieira
2448,500903,Brayan Villarreal
2449,453646,Carlos Villanueva
2450,570799,Christian Villanueva
2451,542340,Jonathan Villar
2452,650619,Meibrys Viloria
2453,543883,Nick Vincent
2454,519388,Josh Vitters
2455,527055,Arodys Vizcaino
2456,123744,Omar Vizquel
2457,596129,Dan Vogelbach
2458,285064,Ryan Vogelsong
2459,519390,Stephen Vogt
2460,572228,Luke Voit
2461,450172,Edinson Volquez
2462,458690,Chris Volstad
2463,608723,Austin Voth
2464,458015,Joey Votto
2465,608379,Michael Wacha
2466,493159,Tsuyoshi Wada
2467,460677,Cory Wade
2468,664774,LaMonte Wade
2469,642180,Tyler Wade
2470,123790,Billy Wagner
2471,621097,Jacob Waguespack
2472,592833,Bobby Wahl
2473,425794,Adam Wainwright
2474,477229,Jordan Walden
2475,519393,Marcus Walden
2476,448252,Kyle Waldrop
2477,572233,Christian Walker
2478,435522,Neil Walker
2479,592836,Taijuan Walker
2480,477165,Brett Wallace
2481,595453,Chad Wallach
2482,657088,Forrest Wall
2483,476205,Josh Wall
2484,595023,Colin Walsh
2485,665120,Jared Walsh
2486,502208,P.J. Walters
2487,595025,Zach Walters
2488,425426,Chien-Ming Wang
2489,623913,Wei-Chung Wang
2490,608380,Drew Ward
2491,621493,Taylor Ward
2492,476589,Adam Warren
2493,671221,Drew Waters
2494,453265,Tony Watson
2495,450308,Jered Weaver
2496,596133,Luke Weaver
2497,425630,Brandon Webb
2498,543900,Daniel Webb
2499,657097,Jacob Webb
2500,657277,Logan Webb
2501,444436,Ryan Webb
2502,643778,Tyler Webb
2503,543901,Ryan Weber
2504,543903,Allen Webster
2505,457789,Jemile Weeks
2506,430001,Rickie Weeks
2507,475095,Kyle Weiland
2508,666213,Colton Welker
2509,489413,Casper Wells
2510,448694,Randy Wells
2511,150484,Vernon Wells
2512,605525,J.B. Wendelken
2513,621563,Joey Wendle
2514,150029,Jayson Werth
2515,150414,Jake Westbrook
2516,572253,Ryan Wheeler
2517,554430,Zack Wheeler
2518,502229,Alex White
2519,657108,Evan White
2520,643603,Tyler White
2521,595032,Chase Whitley
2522,666215,Forrest Whitley
2523,592858,Rowan Wick
2524,642203,Taylor Widener
2525,623364,Brad Wieck
2526,543921,Joe Wieland
2527,446308,Matt Wieters
2528,421064,Ty Wigginton
2529,452666,Tom Wilhelmsen
2530,658792,Aaron Wilkerson
2531,592859,Steve Wilkerson
2532,642207,Devin Williams
2533,425883,Dontrelle Willis
2534,425532,Jerome Williams
2535,425545,Josh Willingham
2536,592863,Mason Williams
2537,607776,Mac Williamson
2538,608384,Nick Williams
2539,592865,Taylor Williams
2540,592866,Trevor Williams
2541,543935,Alex Wilson
2542,435064,Bobby Wilson
2543,451216,Brian Wilson
2544,669060,Bryse Wilson
2545,450351,C.J. Wilson
2546,458677,Justin Wilson
2547,622259,Trey Wingenter
2548,608385,Jesse Winker
2549,595465,Dan Winkler
2550,621550,Patrick Wisdom
2551,276547,DeWayne Wise
2552,605538,Matt Wisler
2553,621295,Nick Wittgren
2554,592879,Asher Wojciechowski
2555,150116,Randy Wolf
2556,547172,Tony Wolters
2557,543939,Kolten Wong
2558,622072,Alex Wood
2559,502028,Blake Wood
2560,457420,Brandon Wood
2561,621056,Hunter Wood
2562,134268,Kerry Wood
2563,605540,Brandon Woodruff
2564,445971,Tim Wood
2565,475243,Travis Wood
2566,519443,Brandon Workman
2567,474699,Vance Worley
2568,519445,Danny Worth
2569,431151,David Wright
2570,124604,Jamey Wright
2571,657140,Kyle Wright
2572,605541,Mike Wright
2573,453214,Steven Wright
2574,449079,Wesley Wright
2575,642851,Austin Wynns
2576,642231,Jimmy Yacabonis
2577,685493,Shun Yamaguchi
2578,657141,Jordan Yamamoto
2579,642232,Ryan Yarbrough
2580,573262,Mike Yastrzemski
2581,489446,Kirby Yates
2582,592885,Christian Yelich
2583,593679,Gabriel Ynoa
2584,425903,Kevin Youkilis
2585,622065,Alex Young
2586,432934,Chris Young
2587,455759,Chris Young
2588,430321,Delmon Young
2589,458913,Eric Young Jr.
2590,457568,Matt Young
2591,276545,Michael Young
2592,657145,Mark Zagunis
2593,407296,Carlos Zambrano
2594,446899,Brad Ziegler
2595,605548,Bradley Zimmer
2596,519455,Jordan Zimmermann
2597,622092,Kyle Zimmer
2598,475582,Ryan Zimmerman
2599,217096,Barry Zito
2600,450314,Ben Zobrist
2601,676604,Tyler Zuber
2602,572287,Mike Zunino
2603,543964,Tony Zych
2604,663697,Jonathan India
2605,664789,Ka'ai Tom
2606,642211,Justin Williams
2607,672779,Tucupita Marcano
2608,656716,Zach McKinstry
2609,642201,Eli White
2610,664728,Kyle Isbel
2611,595943,Phillip Evans
2612,606213,Yermin Mercedes
2613,670351,Jose Rojas
2614,676801,Chas McCormick
2615,596056,John Nogowski
2616,663765,Jake Woodford
2617,669294,Paul Campbell
2618,677960,Ryan Weathers
2619,672695,Geraldo Perdomo
2620,641680,Jonah Heim
2621,668731,Akil Baddoo
2622,624641,Edmundo Sosa
2623,641929,Joseph Odom
2624,663630,Ryan McKenna
2625,602104,Ramon Urias
2626,676840,Matt Peacock
2627,628450,Yadiel Hernandez
2628,656821,Kevin Padlo
2629,660623,Huascar Ynoa
2630,668663,Tres Barrera
2631,680963,Cody Wilson
2632,670042,Luke Raley
2633,641943,Josh Palacios
2634,669289,Santiago Espinal
2635,676701,Alan Trejo
2636,670370,Andrew Young
2637,622503,Nabil Crismatt
2638,669008,Ronnie Dawson
2639,641447,Daniel Castano
2640,621008,Alex De Goti
2641,622100,Taylor Jones
2642,656568,Scott Hurst
2643,453527,Sean Kazmar Jr.
2644,670084,Nick Heath
2645,502179,Paolo Espino
2646,665155,Nick Maton
2647,677651,Luis Garcia
2648,669145,Bruce Zimmermann
2649,666801,Rodolfo Castro
2650,670097,Zack Short
2651,656847,DJ Peters
2652,672701,Jose Devers
2653,613564,Jason Vosler
2654,656548,Jordan Holloway
2655,621450,Skye Bolt
2656,664092,Sean Poppen
2657,656537,Derek Hill
2658,670955,Edwin Uceta
2659,669952,Mitch White
2660,666163,Ben Rortvedt
2661,664076,Garrett Cleavinger
2662,666128,Mario Feliciano
2663,640444,Wil Crowe
2664,676424,Alec Bettinger
2665,628451,Andy Ibanez
2666,624522,Keegan Thompson
2667,645305,Ali Sanchez
2668,670462,Hunter Owen
2669,664850,Patrick Mazeika
2670,656582,Connor Joe
2671,663616,Trevor Larnach
2672,665861,Sebastian Rivero
2673,657011,Troy Stokes Jr.
2674,622766,Miguel Diaz
2675,547001,Cody Poteet
2676,606992,Eric Haase
2677,643269,Will Craig
2678,622668,Ivan Castillo
2679,647315,Zach Pop
2680,664337,Miguel Yajure
2681,606993,Jake Hager
2682,571676,Seth Frankoff
2683,622268,Donovan Walton
2684,681911,Alex Vesia
2685,665561,Rafael Marchan
2686,641561,Johneshwy Fargas
2687,656353,Tucker Davidson
2688,664731,P.J. Higgins
2689,642456,Luis Barrera
2690,621249,Duane Underwood Jr.
2691,657006,Justin Steele
2692,641682,Ryan Hendrix
2693,676477,Garrett Whitlock
2694,608422,Jose Godoy
2695,623167,Chris Flexen
2696,670764,Taylor Walls
2697,670056,Caleb Baragar
2698,572125,Sam Selman
2699,664074,Cody Ponce
2700,664314,Estevan Florial
2701,593590,Webster Rivas
2702,663527,Tyler Nevin
2703,642221,Kean Wong
2704,642727,Sergio Alcantara
2705,665621,Rony Garcia
2706,606336,Luis Marte
2707,658551,Junior Fernandez
2708,676220,Seth Elledge
2709,665482,Gilberto Celestino
2710,663905,Travis Blankenhorn
2711,656467,Chris Gittens
2712,667297,Tommy Nance
2713,656180,Riley Adams
2714,663897,Luke Williams
2715,605504,Dillon Thomas
2716,622250,Josh Sborz
2717,542992,Andy Burns
2718,605507,Zach Thompson
2719,667463,John King
2720,663574,Tony Santillan
2721,676391,Ernie Clement
2722,669674,Sammy Long
2723,666205,Kyle Muller
2724,650496,J.C. Mejia
2725,547176,Daniel Camarena
2726,663837,Matt Vierling
2727,656529,Sam Hentges
2728,676646,Zach Reks
2729,571948,Hoby Milner
2730,663457,Lars Nootbaar
2731,670768,Luis Gonzalez
2732,669212,Eli Morgan
2733,656731,Tylor Megill
2734,657136,Connor Wong
2735,668820,Max Kranick
2736,621348,Sam Clay
2737,664670,Alejo Lopez
2738,663559,Bailey Falter
2739,656896,Emmanuel Rivera
2740,657757,Gavin Sheets
2741,656494,Taylor Gushue
2742,667376,Miguel Sanchez
2743,643524,Frank Schwindel
2744,669622,Anthony Bender
2745,663399,Brandon Waddell
2746,641360,Phil Bickford
2747,641851,Kyle McGowin
2748,656413,Stuart Fairchild
2749,528748,Humberto Castellanos
2750,664874,Seby Zavala
2751,663753,Reiss Knehr
2752,607111,Jacob Wilson
2753,656883,Jakson Reetz
2754,660829,Hoy Park
2755,664011,Trey Amburgey
2756,622098,Drew Smith
2757,595798,R.J. Alaniz
2758,668665,Stephen Nogosek
2759,670766,Darren McCaughan
2760,656420,J.P. Feyereisen
2761,642233,Eric Yardley
2762,664054,Cody Stashak
2763,594056,Reymin Guduan
2764,642130,Blake Taylor
2765,656793,Nick Nelson
2766,657240,Julian Merryweather
2767,641401,Connor Brogdon
2768,676969,Brett de Geus
2769,670280,David Bednar
2770,607572,Sam Howard
2771,592094,Jason Adam
2772,676684,Will Vest
2773,664948,Anthony Misiewicz
2774,621368,Taylor Hearn
2775,672578,Carlos Hernandez
2776,617228,Hirokazu Sawamura
2777,548384,Brooks Raley
2778,624647,Victor Gonzalez
2779,641386,Ben Bowden
2780,642068,Jordan Sheffield
2781,669735,Chris Rodriguez
2782,595411,Ryan Sherriff
2783,606303,Joel Payamps
2784,665854,Luis Oviedo
2785,685503,Kohei Arihara
2786,663986,Trevor Stephan
2787,641394,Jake Brentz
2788,605138,Wes Benjamin
2789,669330,Tyler Wells
2790,643615,T.J. Zeuch
2791,607391,Chris Mazza
2792,656322,Sam Coonrod
2793,669135,Mac Sceroler
2794,573204,Caleb Thielbar
2795,640448,Kyle Finnegan
2796,607179,Jordan Weems
2797,596027,Dillon Maples
2798,500610,Deolis Guerra
2799,664714,Ljay Newsome
2800,676709,Ty Tice
2801,656638,Alex Lange
2802,594985,Ben Rowen
2803,670550,Nivaldo Rodriguez
2804,676831,Kodi Whitley
2805,622780,Angel Perdomo
2806,668941,JoJo Romero
2807,572955,Pierce Johnson
2808,621593,Anthony Castro
2809,660825,Eduard Bazardo
2810,656981,Peter Solomon
2811,666808,Camilo Doval
2812,641420,Zack Burdi
2813,665759,Ramon Rosso
2814,608652,Luke Farrell
2815,656266,J.B. Bukauskas
2816,621139,Brooks Kriske
2817,666619,Gregory Santos
2818,592288,Kent Emanuel
2819,573062,Aaron Northcraft
2820,545343,Louis Head
2821,675912,Zac Lowther
2822,680692,Jonathan Stiever
2823,660365,Hyeon-Jong Yang
2824,656730,Trevor Megill
2825,664852,Jay Flaa
2826,664157,Travis Bergen
2827,622256,Patrick Weigel
2828,669459,Kyle Nelson
2829,664875,Justin Lawrence
2830,670090,Wyatt Mills
2831,680704,Nick Sandlin
2832,593619,Domingo Tapia
2833,656458,Lucas Gilbreath
2834,592464,Mike Kickham
2835,656725,Alex McRae
2836,641576,Bernardo Flores Jr.
2837,667465,Aaron Fletcher
2838,608335,Kyle Funkhouser
2839,676755,Isaac Mattson
2840,650347,Luis Madero
2841,605521,Art Warren
2842,676886,Jeremy Beasley
2843,664918,Kyle Keller
2844,665733,Antonio Santos
2845,573009,Joe Mantiply
2846,621078,Brady Lail
2847,641927,Bailey Ober
2848,650671,Jose Quijada
2849,663959,Tyler Ivey
2850,660546,Yennsy Diaz
2851,623485,Ashton Goudeau
2852,666201,Alek Manoah
2853,623354,Daniel Zamora
2854,621248,Ralph Garza Jr.
2855,621114,Ryan Burr
2856,669424,Jimmy Lambert
2857,669214,Conner Menez
2858,671790,Ronald Bolanos
2859,605441,Yacksel Rios
2860,667373,Angel Rondon
2861,671345,Jason Foley
2862,656354,Austin Davis
2863,650911,Cristopher Sanchez
2864,643377,Griffin Jax
2865,607359,Spencer Patton
2866,641907,Patrick Murphy
2867,622492,Keury Mella
2868,656803,James Norwood
2869,642048,Tayler Saucedo
2870,664776,Jake Cousins
2871,666168,Mason Thompson
2872,595263,Mickey Jannis
2873,657697,Vinny Nittoli
2874,669618,Joe Barlow
2875,649144,Alexander Wells
2876,592831,Konner Wade
2877,621057,Justin Garza
2878,600887,Miguel Del Pozo
2879,676879,Aaron Ashby
2880,600921,Andres Machado
2881,641995,Roel Ramirez
2882,663992,Richard Lovelady
2883,670057,Ryan Hartman
2884,680430,Nick Allgeyer
2885,657093,Spenser Watkins
2886,681806,Andrew Wantz
2887,596082,Jake Reed
2888,597113,DJ Johnson
2889,628345,Darien Nunez
2890,670456,JD Hammer
2891,661440,Mauricio Llovera
2892,656212,Charlie Barnes
2893,594580,Sam Moll
2894,573127,Zac Rosscup
2895,571479,Andrew Bellatti
2896,683232,Nick Mears
2897,650559,Bryan De La Cruz
2898,656403,Drew Ellis
2899,663799,Curtis Terry
2900,675649,Brian Miller
2901,676694,Jake Meyers
2902,543258,Preston Guilmet
2903,669912,Kirby Snead
2904,641384,Akeem Bostick
2905,681810,Austin Warren
2906,657228,Jake Jewell
2907,621074,Michael Rucker
2908,656620,Gabe Klobosits
2909,655889,Manuel Rodriguez
2910,620396,Miguel Aguilar
2911,623454,Drew Anderson
2912,623474,Jimmy Herget
2913,665661,Shea Spitzbarth
2914,661563,Luis Gil
2915,670050,Stephen Ridings
2916,621259,Brody Koerner
2917,656457,Tyler Gilbert
2918,643400,Dusten Knight
2919,674944,Sean Guenther
2920,660634,Yonny Hernandez
2921,656364,Greg Deichmann
2922,650959,Marcos Diplan
2923,608650,Dietrich Enns
2924,676050,Packy Naughton
2925,677865,Justin Bruihl
2926,676103,Damon Jones
2927,615699,Jacob Robson
2928,623437,Justin Topa
2929,660906,Francisco Perez
2930,656818,Connor Overton
2931,664682,Ryan Meisinger
