,MLBID,PLAYERNAME
236,605143,Ray Black
237,429715,Travis Blackley
238,502195,Vic Black
239,594760,Aaron Blair
240,232694,Casey Blake
241,433217,Andres Blanco
242,453923,Gregor Blanco
243,111072,Henry Blanco
244,607468,Alex Blandino
245,452035,Kyle Blanks
246,430599,Joe Blanton
247,518466,Jabari Blash
248,542947,Richard Bleier
249,460283,Jerry Blevins
250,217100,Willie Bloomquist
251,453269,Brennan Boesch
252,593428,Xander Bogaerts
253,459939,Mitchell Boggs
254,460131,Brian Bogusevic
255,664761,Alec Bohm
256,502211,Mike Bolsinger
257,425827,Jeremy Bonderman
258,466988,Emilio Bonifacio
259,593528,Jorge Bonifacio
260,474865,Julio Borbon
261,621366,Ryan Borucki
262,400268,J.C. Boscan
263,623520,David Bote
264,430652,Jason Bourgeois
265,488721,Peter Bourjos
266,571506,Justin Bour
267,456422,Michael Bourn
268,476601,Michael Bowden
269,621199,Matt Bowman
270,502202,Brad Boxberger
271,571510,Matt Boyd
272,430641,Blaine Boyer
273,542960,Brad Brach
274,611093,Silvino Bracho
275,460284,Dallas Braden
276,607473,Chasen Bradford
277,605151,Archie Bradley
278,656252,Bobby Bradley
279,598265,Jackie Bradley Jr.
280,150396,Milton Bradley
281,488726,Michael Brantley
282,542963,Rob Brantly
283,137140,Russell Branyan
284,518489,Ryan Brasier
285,643230,Steven Brault
286,460075,Ryan Braun
287,605154,John Brebbia
288,608324,Alex Bregman
289,592165,Brandon Brennan
290,444520,Craig Breslow
291,605155,Colten Brewer
292,592169,Austin Brice
293,593993,Jose Briceno
294,592170,Parker Bridwell
295,656257,Jeff Brigham
296,458582,Reid Brignac
297,621446,Lewis Brinson
298,593647,Socrates Brito
299,502154,Zach Britton
300,605156,Aaron Brooks
301,670712,Michael Brosseau
302,571521,Rex Brothers
303,518500,Andrew Brown
304,446135,Barret Browning
305,502126,Domonic Brown
306,518502,Gary Brown
307,664913,Seth Brown
308,623143,Trevor Brown
309,455009,Jonathan Broxton
310,542979,Keon Broxton
311,664141,JT Brubaker
312,457803,Jay Bruce
313,595144,Jaycob Brugman
314,660644,Vidal Brujan
315,592178,Kris Bryant
316,663460,Kris Bubic
317,571527,David Buchanan
318,453329,Clay Buchholz
319,488748,Ryan Buchter
320,407833,John Buck
321,621111,Walker Buehler
322,279824,Mark Buehrle
323,518516,Madison Bumgarner
324,607481,Aaron Bummer
325,605164,Dylan Bundy
326,595897,Nick Burdi
327,669394,Jake Burger
328,542609,Enrique Burgos
329,457566,Greg Burke
330,150359,A.J. Burnett
331,488751,Alex Burnett
332,669203,Corbin Burnes
333,430634,Sean Burnett
334,542993,Billy Burns
335,150100,Pat Burrell
336,663366,Beau Burrows
337,454537,Jared Burton
338,456713,Matt Bush
339,460077,Drew Butera
340,456714,Billy Butler
341,572750,Eddie Butler
342,542994,Joey Butler
343,621142,Ty Buttrey
344,621439,Byron Buxton
345,136263,Tim Byrdak
346,407781,Marlon Byrd
347,452678,Asdrubal Cabrera
348,665795,Edward Cabrera
349,465784,Everth Cabrera
350,650893,Genesis Cabrera
351,606291,Mauricio Cabrera
352,466320,Melky Cabrera
353,408234,Miguel Cabrera
354,111851,Orlando Cabrera
355,502239,Trevor Cahill
356,456715,Lorenzo Cain
357,430912,Matt Cain
358,594777,Kole Calhoun
359,641432,Willie Calhoun
360,430948,Alberto Callaspo
361,622666,Johan Camargo
362,663662,Daz Cameron
363,111904,Mike Cameron
364,491708,Arquimedes Caminero
365,542999,Tony Campana
366,493472,Eric Campbell
367,425861,Shawn Camp
368,669134,Luis Campusano
369,600869,Jeimer Candelario
370,592192,Mark Canha
371,656288,Griffin Canning
372,429664,Robinson Cano
373,408305,Jorge Cantu
374,444453,Russ Canzler
375,605169,Carter Capps
376,448165,Matt Capps
377,425626,Chris Capuano
378,605170,Victor Caratini
379,502133,Adrian Cardenas
380,506924,Stephen Cardullo
381,446398,Andrew Carignan
382,641438,Shane Carle
383,666185,Dylan Carlson
384,433584,Roberto Hernandez
385,502165,Andrew Carpenter
386,112020,Chris Carpenter
387,452764,Chris Carpenter
388,502304,David Carpenter
389,518526,David Carpenter
390,572761,Matt Carpenter
391,543001,Ryan Carpenter
392,455077,Mike Carp
393,471911,Carlos Carrasco
